,days,hours,b'11126_fg,b'11126_obs,b'11035_fg,b'11035_obs
59,319,11,276.10748901367185,278.45001220703125,283.0979515075684,282.6499938964844
60,319,12,276.4501007080078,278.8500061035156,283.5031547546387,282.54998779296875
61,319,13,276.3333106994629,278.45001220703125,284.06027755737307,282.95001220703125
62,319,14,275.7071807861328,278.1499938964844,284.8431335449219,283.6499938964844
63,319,15,275.41148376464844,277.8500061035156,284.26715927124025,285.04998779296875
64,319,16,275.0796730041504,277.54998779296875,283.7959320068359,286.04998779296875
65,319,17,275.01664276123046,277.25,283.86122665405276,287.04998779296875
66,319,18,275.32037658691405,277.25,284.66401901245115,285.6499938964844
67,319,19,275.40869140625,277.1499938964844,284.65682830810545,285.1499938964844
68,319,20,275.4685943603516,277.1499938964844,285.45838775634763,285.25
69,319,21,275.31897964477537,276.8500061035156,285.59430541992185,286.54998779296875
70,319,22,275.01978454589846,276.75,285.54298095703126,286.75
71,319,23,274.7558059692383,276.45001220703125,285.2350051879883,287.45001220703125
72,320,0,274.6189353942871,276.25,284.9253639221191,287.75
73,320,1,274.2268829345703,276.1499938964844,284.72509078979493,287.95001220703125
74,320,2,274.2872261047363,275.95001220703125,284.5445274353027,287.3500061035156
75,320,3,274.50939788818357,275.54998779296875,284.6885192871094,286.95001220703125
76,320,4,274.5366470336914,275.54998779296875,284.8528259277344,285.6499938964844
77,320,5,274.5611396789551,275.45001220703125,284.83686447143555,286.8500061035156
78,320,6,274.6801170349121,275.45001220703125,284.8385269165039,287.04998779296875
79,320,7,275.2220718383789,275.6499938964844,284.60535430908203,287.1499938964844
80,320,8,276.2979248046875,276.75,284.6809364318848,286.95001220703125
81,320,9,277.5058029174805,277.45001220703125,285.43822326660154,288.8500061035156
82,320,10,278.4660957336426,278.6499938964844,286.49660873413086,289.1499938964844
83,320,11,278.9303894042969,278.3500061035156,287.4716209411621,288.3500061035156
84,320,12,279.35313720703124,280.54998779296875,288.178507232666,289.3500061035156
85,320,13,278.89522247314454,279.75,288.18712005615237,290.04998779296875
86,320,14,278.29060287475585,280.6499938964844,287.3567291259766,289.45001220703125
87,320,15,,,,
88,320,16,278.01147689819334,279.04998779296875,285.76784057617186,286.6499938964844
89,320,17,277.8223052978516,279.25,285.02907791137693,285.25
90,320,18,277.431413269043,279.04998779296875,284.84709854125975,284.1499938964844
91,320,19,277.1800231933594,279.04998779296875,284.32508239746096,283.45001220703125
92,320,20,276.5667335510254,278.75,284.2959327697754,283.95001220703125
93,320,21,276.45814208984376,278.54998779296875,284.41425170898435,284.04998779296875
94,320,22,276.2619575500488,278.04998779296875,284.16394195556643,287.6499938964844
95,320,23,276.35087890625,277.95001220703125,283.8922035217285,289.3500061035156
96,321,0,276.33326263427733,277.6499938964844,283.82639389038087,289.25
97,321,1,276.7563117980957,277.25,284.3622680664063,288.6499938964844
98,321,2,276.7547607421875,277.1499938964844,284.41835632324216,288.54998779296875
99,321,3,276.5446601867676,277.45001220703125,284.32136764526365,288.04998779296875
100,321,4,276.68521041870116,277.6499938964844,284.0220352172852,287.45001220703125
101,321,5,277.2579978942871,277.54998779296875,283.9991714477539,287.04998779296875
102,321,6,277.3903121948242,278.3500061035156,284.49428482055663,287.25
103,321,7,277.8385841369629,279.54998779296875,284.2035789489746,287.6499938964844
104,321,8,278.48611602783205,278.8500061035156,285.0203109741211,287.75
105,321,9,278.2669364929199,279.6499938964844,285.89808349609376,288.54998779296875
106,321,10,278.93902282714845,279.1499938964844,286.56871490478517,288.6499938964844
107,321,11,279.4430755615234,279.25,287.7456230163574,288.45001220703125
108,321,12,278.85879440307616,279.25,287.8973617553711,289.6499938964844
109,321,13,277.7037757873535,278.75,287.9413467407227,290.45001220703125
110,321,14,277.7161476135254,279.04998779296875,286.8165000915527,289.75
111,321,15,277.5611572265625,278.75,286.33005981445314,288.95001220703125
112,321,16,277.2329666137695,278.45001220703125,285.8395706176758,288.04998779296875
113,321,17,276.664013671875,278.1499938964844,285.43945236206054,287.45001220703125
114,321,18,276.44337463378906,277.54998779296875,286.5180610656738,287.54998779296875
115,321,19,276.5061088562012,277.8500061035156,286.40525970458987,287.54998779296875
116,321,20,276.36955642700195,277.75,286.4404006958008,288.04998779296875
117,321,21,276.4578285217285,278.04998779296875,286.4647506713867,287.25
118,321,22,277.1135612487793,278.04998779296875,285.8903305053711,287.95001220703125
119,321,23,277.668416595459,278.75,286.34918212890625,287.6499938964844
120,322,0,,,,
121,322,1,,,,
122,322,2,,,,
123,322,3,,,,
124,322,4,,,,
125,322,5,,,,
126,322,6,,,,
127,322,7,,,,
128,322,8,,,,
129,322,9,,,,
130,322,10,,,,
131,322,11,,,,
132,322,12,,,,
133,322,13,,,,
134,322,14,276.656428527832,280.45001220703125,288.2554214477539,291.45001220703125
135,322,15,276.1592079162598,278.8500061035156,287.2976531982422,290.54998779296875
136,322,16,276.390340423584,277.75,286.437678527832,289.6499938964844
137,322,17,276.6443977355957,277.54998779296875,285.4496826171875,289.1499938964844
138,322,18,276.54619140625,277.95001220703125,284.5685691833496,287.45001220703125
139,322,19,277.04591979980466,277.45001220703125,283.53820343017577,285.75
140,322,20,277.6553237915039,278.6499938964844,283.2077011108398,284.6499938964844
141,322,21,278.09901123046876,278.75,283.19530563354493,286.04998779296875
142,322,22,277.75560760498047,278.8500061035156,282.91772232055666,286.75
143,322,23,277.39940032958987,278.75,282.33957443237307,286.6499938964844
144,323,0,277.16655960083006,278.6499938964844,282.08080368041993,286.3500061035156
145,323,1,277.0741142272949,278.6499938964844,282.2733459472656,286.8500061035156
146,323,2,277.46941299438475,278.8500061035156,282.0002494812012,287.54998779296875
147,323,3,276.369450378418,277.8500061035156,283.0191108703613,287.54998779296875
148,323,4,275.4124786376953,277.3500061035156,283.1975975036621,287.6499938964844
149,323,5,274.4995399475098,276.6499938964844,282.5706428527832,287.45001220703125
150,323,6,274.8055023193359,275.6499938964844,282.4459144592285,287.04998779296875
151,323,7,276.15071563720704,276.1499938964844,282.7168113708496,287.6499938964844
152,323,8,276.400617980957,276.3500061035156,284.98838958740237,288.3500061035156
153,323,9,277.01977462768554,276.45001220703125,286.2847137451172,289.1499938964844
154,323,10,277.78312759399415,278.95001220703125,287.644783782959,289.6499938964844
155,323,11,277.5609375,278.25,287.85638122558595,290.3500061035156
156,323,12,277.50765533447264,278.95001220703125,287.965185546875,290.95001220703125
157,323,13,277.1152519226074,278.95001220703125,287.6617835998535,290.8500061035156
158,323,14,276.4948272705078,279.25,287.4090156555176,290.45001220703125
159,323,15,275.4029823303223,278.1499938964844,286.7403617858887,290.1499938964844
160,323,16,275.1510269165039,276.54998779296875,286.23373260498045,289.6499938964844
161,323,17,275.63767013549807,276.1499938964844,285.7427467346191,288.8500061035156
162,323,18,275.1583534240723,276.04998779296875,285.38437805175784,288.8500061035156
163,323,19,275.29000396728514,276.45001220703125,284.9997802734375,288.54998779296875
164,323,20,275.48735733032225,276.75,284.62036514282227,288.45001220703125
165,323,21,275.5826477050781,277.3500061035156,284.106689453125,288.1499938964844
166,323,22,275.7156211853027,277.3500061035156,283.6225082397461,287.04998779296875
167,323,23,275.6311164855957,277.04998779296875,283.9464706420898,289.6499938964844
168,324,0,275.30666580200193,278.04998779296875,284.8712127685547,289.8500061035156
169,324,1,275.307430267334,276.8500061035156,285.5473434448242,290.25
170,324,2,275.1806983947754,276.75,287.2171058654785,291.1499938964844
171,324,3,274.9572334289551,276.8500061035156,287.33695755004885,290.8500061035156
172,324,4,274.7961540222168,277.04998779296875,287.7908027648926,291.04998779296875
173,324,5,274.6848571777344,276.54998779296875,286.7479446411133,285.04998779296875
174,324,6,274.48183822631836,275.95001220703125,285.21207733154296,283.8500061035156
175,324,7,273.7720527648926,274.95001220703125,284.4231819152832,283.95001220703125
176,324,8,273.71888732910156,274.6499938964844,284.2136512756348,283.75
177,324,9,274.33907852172854,275.8500061035156,283.94041137695314,283.3500061035156
178,324,10,275.19681015014646,276.8500061035156,284.29323654174806,283.6499938964844
179,324,11,275.3122955322266,276.04998779296875,284.47101135253905,282.95001220703125
180,324,12,,,,
181,324,13,,,,
182,324,14,274.31331024169924,274.04998779296875,283.59739685058594,281.6499938964844
183,324,15,274.11958541870115,274.1499938964844,283.1432823181152,281.3500061035156
184,324,16,274.3811546325684,274.25,282.68762359619143,281.25
185,324,17,273.93409576416013,274.8500061035156,282.38076705932616,281.3500061035156
186,324,18,274.4556053161621,274.3500061035156,282.2473976135254,281.75
187,324,19,274.8434005737305,273.1499938964844,281.6451934814453,281.95001220703125
188,324,20,273.8714195251465,272.95001220703125,281.5448394775391,281.8500061035156
189,324,21,272.217529296875,272.75,281.5897102355957,281.8500061035156
190,324,22,270.7745170593262,272.1499938964844,281.04695587158204,281.54998779296875
191,324,23,269.7912773132324,271.75,280.35317611694336,281.04998779296875
192,325,0,268.99441146850586,270.6499938964844,279.627921295166,280.45001220703125
193,325,1,268.39751663208006,269.25,279.5113250732422,279.75
194,325,2,267.50540924072266,268.95001220703125,279.7319053649902,278.54998779296875
195,325,3,267.3124313354492,268.45001220703125,279.24889144897463,278.04998779296875
196,325,4,267.2098304748535,268.25,278.89766693115234,278.04998779296875
197,325,5,267.1079872131348,268.3500061035156,278.61561889648436,278.25
198,325,6,266.60205307006834,267.95001220703125,278.388932800293,278.25
199,325,7,266.55208053588865,267.6499938964844,278.24719085693357,278.45001220703125
200,325,8,266.3315658569336,267.25,278.6150733947754,278.45001220703125
201,325,9,265.85715408325194,266.95001220703125,279.1273597717285,278.8500061035156
202,325,10,265.5790191650391,267.04998779296875,279.2914321899414,278.8500061035156
203,325,11,265.5708610534668,266.75,279.6002342224121,279.25
204,325,12,265.2672264099121,265.75,279.70712966918944,279.04998779296875
205,325,13,265.2672508239746,264.8500061035156,279.7912368774414,278.95001220703125
206,325,14,264.98809814453125,264.8500061035156,279.39399871826174,278.75
207,325,15,264.7451400756836,264.95001220703125,278.70889511108396,278.45001220703125
208,325,16,264.3124549865723,264.54998779296875,278.23965606689455,278.1499938964844
209,325,17,264.0072525024414,263.6499938964844,277.8249221801758,278.25
210,325,18,263.7753730773926,263.75,277.4805534362793,277.95001220703125
211,325,19,263.58548126220705,263.8500061035156,277.09647903442385,277.8500061035156
212,325,20,262.2897201538086,263.95001220703125,276.6891693115234,277.75
213,325,21,261.3298530578613,263.6499938964844,276.44021224975586,277.3500061035156
214,325,22,260.35456466674805,262.95001220703125,276.18895721435547,277.1499938964844
215,325,23,260.2545852661133,261.95001220703125,275.9434364318848,277.04998779296875
216,326,0,259.961848449707,261.54998779296875,275.7121742248535,276.95001220703125
217,326,1,260.1596488952637,261.25,275.5358055114746,276.8500061035156
218,326,2,260.2586181640625,261.25,275.3928283691406,276.75
219,326,3,260.1547264099121,261.04998779296875,275.29490127563474,277.1499938964844
220,326,4,260.1583648681641,261.54998779296875,275.23549194335936,276.8500061035156
221,326,5,259.9414009094238,261.6499938964844,275.28976516723634,276.45001220703125
222,326,6,259.710676574707,261.6499938964844,275.3093544006348,276.25
223,326,7,259.50124588012693,261.95001220703125,275.30206909179685,276.25
224,326,8,259.59715728759767,262.04998779296875,275.8538536071777,276.6499938964844
225,326,9,260.09006576538087,262.3500061035156,276.55755920410155,277.1499938964844
226,326,10,260.553816986084,262.75,277.1139625549316,277.54998779296875
227,326,11,261.04064483642577,262.95001220703125,277.629296875,277.75
228,326,12,261.3671760559082,262.95001220703125,277.9425621032715,278.1499938964844
229,326,13,262.05677261352537,263.25,277.9664001464844,278.04998779296875
230,326,14,261.74960708618164,262.54998779296875,277.5010078430176,277.45001220703125
231,326,15,261.42411880493165,262.75,276.671688079834,277.04998779296875
232,326,16,261.0020233154297,262.45001220703125,276.13789596557615,276.6499938964844
233,326,17,260.84934387207034,261.75,275.67433166503906,276.04998779296875
234,326,18,260.3942245483398,261.6499938964844,275.82956314086914,276.25
235,326,19,260.19799575805666,260.8500061035156,275.8174476623535,275.8500061035156
236,326,20,260.0812286376953,260.1499938964844,275.46971664428713,276.1499938964844
237,326,21,260.05859375,260.1499938964844,274.9683212280273,275.54998779296875
238,326,22,260.0710021972656,260.1499938964844,274.5875297546387,275.25
239,326,23,260.1426116943359,260.3500061035156,274.1664474487305,274.95001220703125
240,327,0,260.1622024536133,260.8500061035156,273.9332443237305,274.8500061035156
241,327,1,260.16017684936526,260.75,273.7870643615723,274.54998779296875
242,327,2,260.04895172119143,260.3500061035156,273.6845252990723,274.3500061035156
243,327,3,259.9576843261719,260.6499938964844,273.63481826782225,274.04998779296875
244,327,4,260.1465919494629,260.45001220703125,273.5123916625977,272.8500061035156
245,327,5,260.1807571411133,260.04998779296875,273.3549415588379,272.1499938964844
246,327,6,259.96023788452146,260.3500061035156,273.1322929382324,272.1499938964844
247,327,7,,,,
248,327,8,,,,
249,327,9,260.89453353881834,260.95001220703125,275.729174041748,275.95001220703125
250,327,10,261.00974731445314,261.1499938964844,277.20658721923826,277.95001220703125
251,327,11,,,,
252,327,12,,,,
253,327,13,,,,
254,327,14,,,,
255,327,15,260.39557189941405,262.54998779296875,275.60475006103513,277.45001220703125
256,327,16,259.62872009277345,260.8500061035156,274.8164543151855,277.3500061035156
257,327,17,259.8568748474121,260.8500061035156,274.30867156982424,276.3500061035156
258,327,18,260.0024932861328,260.8500061035156,273.898371887207,275.54998779296875
259,327,19,259.48665924072264,260.54998779296875,273.42529144287107,273.8500061035156
260,327,20,258.6628929138184,260.3500061035156,273.01884002685546,273.45001220703125
261,327,21,259.2511871337891,260.54998779296875,273.0627960205078,273.04998779296875
262,327,22,258.3877494812012,260.8500061035156,272.89190979003905,272.3500061035156
263,327,23,259.6428276062012,260.54998779296875,272.89327850341795,272.25
264,328,0,261.9409683227539,260.1499938964844,272.7478507995605,272.04998779296875
265,328,1,262.11777267456057,260.95001220703125,272.35845108032225,272.04998779296875
266,328,2,262.30272445678713,261.8500061035156,271.99478302001955,271.75
267,328,3,262.7143783569336,262.04998779296875,271.97235107421875,272.04998779296875
268,328,4,262.746516418457,262.6499938964844,271.8479537963867,271.25
269,328,5,262.8672386169434,262.8500061035156,271.79217224121095,271.04998779296875
270,328,6,262.8371955871582,262.8500061035156,271.7405670166016,271.04998779296875
271,328,7,262.9715492248535,262.8500061035156,271.70176849365237,270.95001220703125
272,328,8,263.34902877807616,263.54998779296875,271.8796257019043,273.54998779296875
273,328,9,263.6278495788574,264.04998779296875,272.66895599365233,274.6499938964844
274,328,10,264.2645980834961,264.45001220703125,273.71440505981445,276.25
275,328,11,264.62317276000977,264.8500061035156,274.3611015319824,277.1499938964844
276,328,12,265.64301376342775,265.25,275.0132659912109,277.8500061035156
277,328,13,265.2001762390137,265.54998779296875,275.2286491394043,278.04998779296875
